,Reviewer Name,Profile Link,Country,Review Count,Review Date,Rating,Review Title,Review Text,Date of Experience
10,Jimmie Detrick,/users/66e81e7ffb6f87ecfc21d322,JP,3 reviews,2024-09-16T14:06:17.000Z,Rated 5 out of 5 stars,Every time there is a problem,"Every time there is a problem, they fix it. I have no idea why Amazon is so poorly rated here, because they provide incredible customer service and support.",5-Sep-24
11,Michael Mac,/users/652e72b822182a0013706f7f,GB,1 review,2024-09-17T13:16:22.000Z,Rated 1 out of 5 stars,Amazon aggressive marketing is counter productive,"I have no interest in signing up to Amazon Prime, When making a purchase, despite clicking the button not to sign me up, I could not stop Amazon from providing a 30 day free trial. I followed the instructions to remove the trial without success as the instructions took me to a page where there was no evident way to proceed with the cancellation. ",17-Sep-24
12,Anita James,/users/66e947392f43cb680003ef50,US,2 reviews,2024-09-17T13:19:27.000Z,Rated 2 out of 5 stars,Bad experience trying to buy a Pitboss Grill,"Bought a Pitboss kc grill combo and received one that was previously opened and was damaged, tried to file for a return immediately and received intimation that i would have to take it into a Pitboss service center (nearly 140 miles) away. Nasty service from such an highly respected company. ",16-Sep-24
13,Mark,/users/66e78ba2fb6f8737a821772b,US,1 review,2024-09-16T03:39:52.000Z,Rated 1 out of 5 stars,Sadly,"Sadly, Amazon no longer provides the quality customer service they once did. I've had several orders never delivered and they always ask if I ""checked neighbor's homes"" etc. This is not my responsibility. My last missing order actually says the driver handed it to the resident. I live alone and was at work at the time of the delivery. They insisted that I need to wait another 24 hours to see if it mysteriously shows up. If it was still coming why do I have a tracking that says the delivery was handed to me? They are also very inconsistent with delivery times. When you call customer service they just don't care. This company is not standing behind its products or deliveries. It's time another company jumps in the game with good customer service.",6-Sep-24
14,Amanda,/users/61602aa5b587420012272092,GB,4 reviews,2024-09-15T16:51:11.000Z,Rated 1 out of 5 stars,Extremely disappointed in the customer…,"Extremely disappointed in the customer service provided by the driver in van LC21 XBN at approximately 1.30pm today. I suggest that you review the van's footage on how he verbally assaulted me by calling me an fxxking bxxxh as a result of him causing an obstruction in a residential street and being asked to move. I have spoken to the customer service team, but my expectation of this being treated as a serious complaint is low.",15-Sep-24
15,Nina George,/users/5bc8595f4de5666d340f2bb7,GB,12 reviews,2024-09-14T17:32:11.000Z,Rated 1 out of 5 stars,Right shambles,My bank card froze only with amazon so couldn't order anything.Package said delivered at the post office when it hasn't been.Spoke to customer services about my card and he was very short with me and patronising when he was telling me how to take my bank card off then re add it. ,14-Sep-24
16,paul stokes,/users/5b51df0e4de5666d342a2e82,GB,16 reviews,2024-09-16T17:37:01.000Z,Rated 1 out of 5 stars,Fraudulant behaviour ,"I put onw star because I can't leave a zero ...I ordered an item for £59.99.. it arrived on  time but wasnt suitable so I sent it back , it was refunded to my gift card account , which i didn't  request..however,  as I was going to order a replacement item I didnt realy question it as I was still going to spend the money ..The 2nd item arrived and was also not suitable ,  so I returned this as well.The refund has been at least 2 weeks now and I've still not received it,  but had an email saying it will be coming and going into my gift card account ...,This is not what I wanted , this is my money and after two phone calls lasting over an hour they're  all saying there's nothing they can do !!!!!. Amazon are fraudulently holding  my money ,, it should be refunded to my credit card but that say they won't/ cand do that..This is theft .Amazon has dropped lower than some dodgy market salesman ..",16-Sep-24
17,Devon OMara,/users/60c693e1041480001be981e6,CA,1 review,2024-09-14T21:44:10.000Z,Rated 1 out of 5 stars,Tired of delivery time lies,Once again my delivery is late with a message saying “we’re so sorry”.I’m so tired of this company lying about delivery times. Absolutely nothing shows up when it says it will. I’m starting not to think that prime is worth it. I can get free delivery pretty much anywhere.,14-Sep-24
18,Diana A,/users/60541d7ad459e1001a075985,US,6 reviews,2024-09-15T04:51:34.000Z,Rated 1 out of 5 stars,AMAZON IS GARBAGE ,"Amazon is the GARBAGE company ! When it comes to refund ANAZIN WILL STEAL YOUR MONEY & GIVE YOU B.S They will escalate it to an appropriate team & itll take 2 business days for someone to get back but no one does ever. You call back again & they tell you the same B.S. If you complain they will transfer you from one dept to another until you’re tired. Amazon just doesn’t give money back for returned items. They’re the worst co when it comes to returns. They give you such a hard time, you don’t want to shop there again. ANAZON IS CROOK, DISHONEST, SHADY, LYING, MANIPULATING HARASSING COMPANY. Stay away and don’t give this billionaire owner to take advantage of you ",14-Sep-24
19,JERRY KIRKLAND,/users/66e83557b963e2a4dbe324e6,US,1 review,2024-09-16T15:40:46.000Z,Rated 2 out of 5 stars,I bought running boards for my Jeep and…,"I bought running boards for my Jeep and they sent me ones that have already been used so when I called them in what ever country their customer service in and was told they would be replaced, it took another week to get what I had already paid for... Now I have been trying for over a week to have the used ones picked up and they keep telling me they will get (NOT) I am on the phone with their co called customer service again trying to get this package picked up...",3-Sep-24
20,Chris,/users/667de5de3a6fe083b82988b3,GB,10 reviews,2024-09-17T10:04:03.000Z,Rated 1 out of 5 stars,💩 show of a company ,"I think I'll be cancelling amazon prime after this latest debacle. Nothing seems to work in this hell hole of a country. I had previously given amazon a good review (which was taken down because I'm a computer program apparently) but since giving the good review, amazon have decided that they can get away providing a substandard service bringing them in line with rest of the detritus operating in Britain today. I am becoming very weary of on-line shopping in this country, it has become a time consuming nightmare and I have never once been offered compensation for the time stolen from me, as a result of their rank, and outright incompetence.",16-Sep-24
21,Guy Bullock,/users/5383ad76000064000175b704,GB,15 reviews,2024-09-12T13:03:28.000Z,Rated 1 out of 5 stars,Amazon refuse a review from my account,"Bought a AIMOONSA 64gb MP3 player. Previous had failed after several months use, this one has proved impossible to upload music.  Amazon REFUSE to allow myself to place a review of the product on their site, rather suggestive of the dubious company I've always thought Amazon to be",12-Sep-24
22,f a,/users/66e366d51be890c8c9f24327,US,1 review,2024-09-13T00:10:39.000Z,Rated 1 out of 5 stars,Amazon customer service has gone…,"Amazon customer service has gone downhill for years... the latest thing these  ""customer service"" representatives are doing is tell you ""we can't help you so we're gonna terminate the call"" and then hang up. How is this customer service at all?",12-Sep-24
23,Mara Finch,/users/6077c117009934001b7d9c87,US,2 reviews,2024-09-12T06:39:00.000Z,Rated 1 out of 5 stars,amazon is trash,"amazon has continuously ripped of millions of people,promising 2 day,same day etc and cant perform.Then when you say something they want to give you 2 dollars for your two years worth of late or absent order,they are ridiculous .",10-Sep-24
24,Em,/users/66e2d7611be89031ccf1df0d,US,1 review,2024-09-12T13:59:11.000Z,Rated 1 out of 5 stars,They lie about shipping times,"They lie about shipping times. Promising delivery on a specific day and never receiving it. items being lost or not shipped. Prime is also a joke. Making promises they can’t keep, and then being a jerk about it when you complain. ",12-Sep-24
25,Jon,/users/647a8520b9257a001221fcdb,US,1 review,2024-09-13T00:53:32.000Z,Rated 1 out of 5 stars,Enter at your own risk ,"I ordered 200 dallors worth of items from Amazon. I reached out repeatedly for help being 1 product from my order was not delivered. The guy says they won't refund ( I'd just reorder it anyway duh I wanted it ) or replace it ( as well if you try this method online it requires you to send back original product ,if I did not ever receive the product , how do I send it back ?) in the matter of 10 minutes he did a through investigation and sees that it was delivered due to weight of package and stamp and whatnot. I feel UPS delivery guy made a mistake or Amazon didn't  package it for delivery in the first place.  But I'm out 71 dollars and am thinking twice about ordering from Amazon or shipping with UPS. ",12-Sep-24
26,Boston Bosch,/users/66433fa7268a772b401d587f,ZA,8 reviews,2024-09-16T18:57:46.000Z,Rated 1 out of 5 stars,Customer service is very poor,"Customer service is very poor, with someone called ""Gene-an"" being very cheeky and straight up ending the support chat.",16-Sep-24
27,Xmasgoose,/users/5a6f914a0000ff000b09a7e5,GB,12 reviews,2024-09-12T13:43:31.000Z,Rated 1 out of 5 stars,No matter what you Write in your email…,"No matter what you Write in your email request to Customer service , they will not read a word of it. The will send you machine generated garbage with couldn't help anyone.9 times in a row I emailed the same elaborate email. They came back with the same unhelpful garbage & obviously did not read my mail ",12-Sep-24
28,Peter Gray,/users/5f60ce38ebfe6e93131f88ac,GB,20 reviews,2024-09-13T17:58:41.000Z,Rated 2 out of 5 stars,Diff to contact / cant solve simplest of issues,"Many orders completed with no issue. Needed a photo frame , located one, in stock,  but system flatly refused to deliver to any address or pick up and provided NO reason why. 45 minutes to find CS number - cut of twice, appaling lines, after another 45 minutes CS unable to identify issue fed up with being left on hold so ended call contacted the manufacturer direct, ordered the frame ( same price but paid a bit for delivery) and advised their sales team they could be losing sales due to Amazons system. How good any business model is is really identified and defined by how it deals with brand and customer support & issues. As a long time prime customer I am appalled at Amazons woeful system of uncontactable, cannot communicate with,  cannot understand, tick box customer support.. It is of the VERY worst kind.",13-Sep-24
29,Bigfellow,/users/5bf2e8c603005618f05f7a99,GB,28 reviews,2024-09-11T20:28:56.000Z,Rated 2 out of 5 stars,Amazon delivery system is complete rubbish,"Amazon products are great but their customer service and delivery process are totally useless and worse for those functions than any other company that I know. My wife and myself have severe mobility problems and it is dangerous for us to try to pick deliveries from the floor of our front porch. Which is what we have to do when Amazon throws our parcel on the floor, take a picture and then run without even ringing the bell. It is not possible for me to complain on line and long winded calls to some customer service appears to be a complete waste of time without positive result.  It look like I will need to take my business elsewhere.",11-Sep-24
30,Alice G,/users/661be50bdf518e00127ee611,US,5 reviews,2024-09-16T15:48:01.000Z,Rated 1 out of 5 stars,Goodbye Amazon,Goodbye Amazon. You have also sent your customer service overseas and as usual it sucks. Our family is done with you. ,9-Sep-24
31,omor sifath,/users/66aa1becfd4baa94bd88b46d,GB,2 reviews,2024-09-14T15:05:22.000Z,Rated 1 out of 5 stars,I ordered a phone case from amazon and…,I ordered a phone case from amazon and the case wasn’t even the right one it took so long to deliver and now these prcks haven’t even giving me the right one fck amazon,14-Sep-24
32,kate,/users/4bbc80420000640001029858,GB,102 reviews,2024-09-13T14:37:36.000Z,Rated 4 out of 5 stars,No Packaging,"Often buy through Amazon and never really have any problem . Have had drivers leave parcel at front door in full view of the road and then return to van without even knocking or ringing the bell. but still surprised at all of the negative reviews.My complaint with my recent order is the fact it did not come in ANY packaging.Trainers for my adult son arrived with NO packaging at all, just in their shoe box which was not even taped down.The lid was actually open.I had left a note on door to say please leave over gate if I’m out, so glad I was back home as it was pouring with rain and would have had sodden box and shoes.Guess this is down to the seller.",13-Sep-24
33,Jimmy,/users/669e77822c3b56ad921ff6e3,US,1 review,2024-09-10T19:09:53.000Z,Rated 1 out of 5 stars,This company may have quanity but not…,"This company may have quanity but not quality and customer service is pathetic. Try to resolve an issue, can’t gotta talk to the computer. This is not customer service, but hey Bezos enjoy that new Gulf Stream while your Customers goes elsewhere for there goods. ",15-Aug-24
34,Gary Barber,/users/5bcefee44de5666d34534167,GB,8 reviews,2024-09-12T20:40:56.000Z,Rated 1 out of 5 stars,Amazon locked my account,"Amazon locked my account, no idea why, sent an email saying that after completing form, which i did, they would be in contact within 24hrs. I had no access to prime or amazon music while it was on hold . after 26 hours I attempted to contact them.No callback service available so I found an american number and was transferred to a call centre . I was told that it would now be 48hrs !  no explanation, refused access to a supervisor or information about the complaints procedure, (  I could hear someone in the background instructing the call handler to finish the call) I was on the phone for over 36 minutes after being told several times to ""wait 2 minutes"".   This is not customer service as they claimed . I wont be wasting my time with them again and will go back to shopping in the more traditional stores .",12-Sep-24
35,shaji mathew,/users/66e05893709f5892fe713d07,IN,1 review,2024-09-10T16:33:03.000Z,Rated 1 out of 5 stars,I ordered 2 sets of Cushions,I ordered 2 sets of Cushions. Each set had 5 numbers of cushions.The delivery guy just delivered 1 set only. The stupid unfriendly app does not have any place to capture it. Inspite of putting it in product review and delivery review no one from the company is interested in resolving my concern. I rated 1 star because there is no scope to score less than that here.,31-Aug-24
36,HA,/users/5c27a6230214995687d9d8f1,GB,49 reviews,2024-09-12T12:01:15.000Z,Rated 1 out of 5 stars,I have ordered spray glue through…,"I have ordered spray glue through Amazon, the item arrived damaged and unusable, reading customers view with similar problem the seller won't pay for return the item. tried to write view about this item the message I received from Amazon was "" this account has not met the minimum eligibility requirements to write a review.Amazon policy sweep the dirt under the carpet.",12-Sep-24
37,Shannon Margaret,/users/667299e0533459151ac27889,CA,2 reviews,2024-09-17T03:08:05.000Z,Rated 1 out of 5 stars,I will NEVER get prime again,I will NEVER get prime again. When I pay for prime I expect an order within days not months. The customer service stinks with Amazon.,16-Sep-24
38,Owen Davies,/users/65be415816778000123d9a3b,GB,39 reviews,2024-09-08T17:09:32.000Z,Rated 1 out of 5 stars,VERY POOR SERVICE,"For the last 2 - 3 weeks the Amazon delivery driver has NOT been complying with delivery instructions. He leaves parcels/packages outside my front door (even in the rain), does NOT ring the doorbell & drives off.I've complained to the Customer Service Centre 4 times, to No Avail. On my front door is an A3 sign saying ""PLEASE LEAVE PACKAGES IN THE UNLOCKED PORCH"".AMAZON HAS NO CONTROL ON WHO IT EMPLOYS & does Not give TRAINING.",8-Sep-24
39,Johan Van de Velde,/users/612f4389e12bed0016cb7025,BE,3 reviews,2024-09-08T21:29:59.000Z,Rated 3 out of 5 stars,They should verify what sellers are…,"They should verify what sellers are selling... a solar panel of 10 by 20 cm can never be 50wp as an example.Solarchargers of type mppt that are not that type at all, bad performances. Not every buyer is an expert.And all these rubbish sellers are bad for Amazon, despite Amazons good delivery procedures",8-Sep-24
40,Ky Trang Ho,/users/60ceae9ba70a1c001a6076bc,US,9 reviews,2024-09-16T17:35:34.000Z,Rated 5 out of 5 stars,Unrivaled Prices and Stellar Customer Service,"As a seasoned Amazon customer for nearly 30 years, I'm compelled to express my unwavering admiration for this company that will rule the world. Amazon consistently offers the most competitive prices across a vast array of products, ensuring that shoppers can always find the best deals. But what truly sets Amazon apart is its unparalleled customer service. The staff is incredibly responsive, knowledgeable, and dedicated to resolving any issues promptly and efficiently. Whether I've encountered a problem with an order, had questions about a product, or simply needed guidance, Amazon's customer support team has always exceeded my expectations. They go above and beyond to ensure satisfaction..Amazon's commitment to customer satisfaction is evident in every interaction. I have always felt confident and supported when shopping on Amazon. I highly recommend Amazon to anyone seeking a reliable and customer-centric online shopping experience. ",16-Mar-24
41,MrsV,/users/5b2e96cd4de5666d34e4e988,GB,76 reviews,2024-09-11T13:16:42.000Z,Rated 1 out of 5 stars,Get so fed up with Amazon,"Get so fed up with Amazon.  I pay annually for the 'privilege' of free next day delivery etc. Nine times out of 10 I get to checkout and find that the goods offered as next day delivery could actually be any number of days, even weeks away.  Today I've been waiting for a small package which should be delivered by 10pm, it's now 9.20pm and tracking shows it's not even despatched!  Amazon customer dis-service robot says it will  be delivered today although they only have the same information that I  have. Tomorrow I  shall receive the usual ""it's been delayed"" email from Amazon and I  will refuse to take delivery when it eventually arrives. There's no compensation for lost or delayed items, we pay for a poor, unwieldy service.   Not good enough Amazon!",10-Sep-24
42,O Hun,/users/594aea500000ff000aa690dc,US,7 reviews,2024-09-13T00:09:59.000Z,Rated 1 out of 5 stars,Customer support is horrible the worst…,Customer support is horrible the worst in the industry Their phone support went to shXXT I will cancel my Prime and deal with another company—Amazon rather than farm their out support. DO NOT DEAL WITH THEM,12-Sep-24
43,Seth Haberman,/users/66df85fa64db528a28d98fb8,US,1 review,2024-09-10T01:37:30.000Z,Rated 1 out of 5 stars,Delivery instructions don't mean anything to Amazon,"If I could give Amazon a zero i would. I have a PO Box so I filled out Amazon's delivery instructions but they can't seem to follow the hours of operation of the UPS store where my PO Box is located. They have tried to deliver 13 of my orders after the UPS store was closed since January. I'm done with Amazon, prices aren't as good anymore and since I'm driving to thr UPS store to pickup my packages it isn't saving me money. Ever since they stopped using UPS and Fedex to make their deliveries their service has sucked!",9-Sep-24
44,rocky davis,/users/66d1e265d6a807cff8c40a99,US,2 reviews,2024-09-11T04:16:40.000Z,Rated 1 out of 5 stars,Horrible company now. I bought a RV exhaust fit cover…,I bought a RV exhaust fit cover canceled it same day because it was the wrong one I've been told two times it's going to be there back in my account the $14.05 in 3 to 5 days called back after 3 to 5 days told the same thing now I called back I'm told that it was never charged even though I'm showing it right here on my bank account has charged and was told twice it was coming back..... Amazon just effectively stole my money! They've gone to trash company! ,10-Sep-24
45,A G,/users/66e204667035ba7b0c327b48,US,1 review,2024-09-11T22:58:27.000Z,Rated 1 out of 5 stars,They charged me for items I returned and it is nearly $1000 worth of stuff. I am blown away. Some of these were UPS pickups from the house too.,They do such a poor job of tracking your returns! I have tallied up nearly $1000 worth of returns that they charged me for even though I returned the items. Many in their original packaging or with original manufacturer box that it came in. I am going to figure out how to get away from Amazon and rid it from my life. I can't believe how much they have stolen!!!,11-Sep-24
46,Jason Sardie,/users/66c010e140e8cde2843f6526,AU,2 reviews,2024-09-11T13:49:27.000Z,Rated 1 out of 5 stars,Absolutely useless,"Absolutely useless. Wants credit card details for payment before anything happens, NO other payment options such as PayPal or any of the others we have here in Australia. Definitely avoid. Stick with Better online auction buying platforms. ",11-Sep-24
47,Nickolas Johnson,/users/5d7fd5fb1933cfa99112c015,US,7 reviews,2024-09-12T13:31:15.000Z,Rated 1 out of 5 stars,1) Product reviews are mostly bots and…,1) Product reviews are mostly bots and they don't care2) They don't ever pack my stuff right. I've had to return 2 things in the past month alone3) If you leave an honest review about a company and the company doesn't like it they will have it removed.4) The way they treat their employees is laughably terrible,12-Sep-24
48,David White,/users/5433a1f700006400018eabc8,GB,14 reviews,2024-09-07T19:24:48.000Z,Rated 1 out of 5 stars,Soooo annoyed with Amazon rubbish…,"Soooo annoyed with Amazon rubbish delivery service. Placed an order yesterday, delivery due today, paid premium delivery cost and now on a Saturday night I've got to wait until between 8pm and 10pm. ITS SATURDAY NIGHT AND I CAN'T GO OUT. WILL BE USING OTHER ONLINE SERVICES FROM NOW ON. SOOO ANGRY 😖.Even tried calling customer services and just got through to a daft chat bot. Can some young entrepreneur reading this please come up with a better more efficient solution/ service that not only looks after its staff but also provides a better delivery service. ( Take it to Dragons Den ) Really, two printer cartridges and I've potentially got to wait until 10pm on a Saturday night?  URRGGGGHHHH😖",7-Sep-24
49,Wayne Smart,/users/66a616f4228d94342c9552c5,GB,1 review,2024-09-09T10:56:02.000Z,Rated 1 out of 5 stars,Refuse to refund me,"What a horrible experience with amazon where they refuse refund you when you bought an item, they send you the wrong item out and when it comes to getting a refund they just keep saying 7days. Now this item wasn't even the same brand, was a cheap 16inch one where mine was 18 inch monster not going into detail of how much but it was expensive. If you been in the same situation before what did you do because I'm getting no where. I've also spoken to them on the phone and they hung up on me, twice. This conversation has happened every 7 days since the 16th July, just going round in circles.",16-Jul-24
50,Mthabisi Michael Ndlovu,/users/65f59f99c583960011ce219f,GB,1 review,2024-09-09T18:07:16.000Z,Rated 1 out of 5 stars,My product was left on the street porch…,"My product was left on the street porch where anyone could pick it up and steal it. I was at home all day waiting for this but the person handling my delivery never bothered to even ring the door bell or anything, just left it outside.I am very disappointed in such service. If it wasn't for the email notification letting me know my parcel had been delivered, I wouldn't have know to look for it as fast as I did.I highly recommend NOT using their delivery services. They are the worst.",9-Sep-24
51,Wendy Deomano,/users/66e449ee71840b2ab1220562,AE,2 reviews,2024-09-13T16:30:45.000Z,Rated 1 out of 5 stars,Amazon has the worst delivery service I…,"Amazon has the worst delivery service I have ever experienced. Their coordination and communication are severely lacking. I provided a designated delivery schedule for my order during office hours, as no one is present to receive packages at night. Despite this, they attempted to deliver my order at night when no one was available. Even worse, they threaten to leave the package outside the office. I strongly advise against leaving items unattended; it creates unnecessary risk. They continue to make promises and apologies, saying it won't happen again, yet the same issues persist. The information in the app often doesn't match reality. I placed an order, but there has been no update on my delivery, despite my follow-up inquiries. As a Prime member, my experience has been disappointing; it feels like there is no priority for members. Overall, I am incredibly frustrated by their service, and it seems that they do not care about their customers at all.",13-Sep-24
52,Ian Porter,/users/6450e4018fec2f0012a2d25f,GB,4 reviews,2024-09-12T16:44:49.000Z,Rated 1 out of 5 stars,Another delivery left in the street.,package was delivered but i didn't hear a knock on the door and only noticed the email half an hour later. The email said the package was handed to me but was left on the pavement outside my property.luckily it was still there and not taken by anyone.,12-Sep-24
53,Matheus ADM,/users/66e1aba069f18901705b505c,GB,1 review,2024-09-11T16:39:34.000Z,Rated 5 out of 5 stars,CUSTUMER SERVICE IN THE UK SO GOOD!!,CUSTUMER SERVICE IN THE UK SO GOOD!!! MY DAD WRONGLY ORDERED SOMETHING TO MY ADRESS. WE GOT REFUNDED IN A MATTER OF SECONDS!! USE THE CUSTOMER SERVICE CHAT IN THE FUTURE IF YOU NEED SOMETHING.,11-Sep-24
54,Andy Jones,/users/5d47f67b6eeed67d5cbecb4f,GB,14 reviews,2024-09-13T15:28:54.000Z,Rated 1 out of 5 stars,More lies from this company and thier…,More lies from this company and thier couriers.i was in the front garden at the time it was said to be delivered!!!!!!! No sign of any delivery all day. UTTER LIES. I will NEVER use Amazon again. I have deleted everything to do with them. CRIMINAL COMPANY,13-Sep-24
55,Angela,/users/66e6450af159832096b26586,US,1 review,2024-09-15T04:26:46.000Z,Rated 5 out of 5 stars,Seal plush amazon,i made a purchase of a seal plush that was viral on the internet. instead of going to the website they made it i went to amazon. Service and quality were both good.,30-Aug-24
56,Scott Townsend,/users/5441b1be000064000190d0ed,NZ,11 reviews,2024-09-09T04:53:21.000Z,Rated 1 out of 5 stars,Yikes terrible!,"Yikes!  Terrible customer service.  Ordered 6 bottles of vitamins, and only 1 arrived.  Took a video of unopened bag clearly showing sealed and only 1 bottle inside.  After wasting 40 minutes chatting to an agent, told I need to return for a refund, which may take 1-2 months!  Instead of just sending the missing bottles.  Crazy!",9-Sep-24
57,Simon Garzella,/users/64c550b07dada800129720e5,US,3 reviews,2024-09-08T15:18:27.000Z,Rated 1 out of 5 stars,Racist behavior,"""I have a foreign name, and yes, I am foreign. But that does not excuse the abysmal behavior of Amazon's customer representative. After being connected to an Amazon agent, she asked for my name. Once I said it, she immediately transferred me, without asking, to a Spanish-speaking representative — and I do not speak Spanish.Was she instructed to assume that all foreigners are Latinos, or that none of them speak English? Or were those her own biases? Either way, this episode reflects terribly on Amazon",7-Sep-24
58,Rebecca,/users/5e141d67361d61374e0e5033,GB,50 reviews,2024-09-09T20:03:34.000Z,Rated 5 out of 5 stars,Brilliant service ,I can’t fault their delivery service. From the purchases I’ve made I’ve had one occasion where they sent the wrong item.  They were fantastic in lockdown and still continue the same service. Customer service is excellent too ,9-Sep-24
59,kristien hearnshaw,/users/5fd618edc4a9b8001960076d,GB,2 reviews,2024-09-13T11:33:10.000Z,Rated 1 out of 5 stars,Customer service is circular,"Customer service is circular, frustrating and completely unhelpful. Even ringing the company directly requires you to log in on a computer or phone which is impossible to do if that is the issue you are ringing about. Intentionally and maliciously obtuse.",13-Sep-24
60,Ian Ibbetson,/users/53bd4eed00006400017dfb85,GB,12 reviews,2024-09-13T10:44:42.000Z,Rated 1 out of 5 stars,My account was hacked last night,My account was hacked last night. I've tried six times now to get a call back from customer service. Every one has been cancelled. I was going to write more - until I saw what a dire score Amazon have got on here already. Onlookers - be warned.,13-Sep-24
61,Farida Jamali,/users/66dc94df193b7224743fa57e,AE,1 review,2024-09-07T20:01:34.000Z,Rated 1 out of 5 stars,Amazon have zero control over 3rd party…,"Amazon have zero control over 3rd party sellers. They take no responsibility for orders. Despite being charged for shipping I had to pay additional to the courier company to receive the order, as 3rd party seller chose a shipping option that didn't cover delivery door to door. I then received an open box product which was not mentioned and again amazon did nothing. To send the order back I need to pay again for the shipping, again amazon did nothing. Absolutely disgraceful.",1-Aug-24
